 Red 877 Blue 65
 Red 865 Blue 95
 Red 637 Blue 1077
Blue Red 126 Blue 4898
Red Red 1005 Blue 640
Red Red 5326 Blue 315
Red Red 5858 Blue 176
Red Red 1898 Blue 219
Red Red 6139 Blue 118
Red Red 4932 Blue 366
Red Red 7126 Blue 962
Red Red 2567 Blue 709
Red Red 5608 Blue 232
Red Red 6574 Blue 250
Red Red 4972 Blue 1353
Red Red 14949 Blue 11
Red Red 15367 Blue 0
Red Red 18114 Blue 0
Red Red 1741 Blue 6
Red Red 6755 Blue 905
Red Red 5277 Blue 130
Red Red 5601 Blue 24
Red Red 5886 Blue 192
Red Red 12867 Blue 667
Red Red 19266 Blue 936
Red Red 7012 Blue 643
Red Red 6894 Blue 0
Red Red 5710 Blue 1706
Red Red 14083 Blue 736
Red Red 4943 Blue 5
Red Red 4599 Blue 1211
Red Red 5454 Blue 293
Red Red 5823 Blue 317
Blue Red 3929 Blue 4585
Blue Red 3761 Blue 6939
Red Red 3203 Blue 2561
Blue Red 208 Blue 7940
Blue Red 2319 Blue 4864
Blue Red 157 Blue 3683
Blue Red 1608 Blue 4821
Blue Red 2220 Blue 3852
Red Red 3265 Blue 1631
Blue Red 1991 Blue 2357
Red Red 2269 Blue 1081
Blue Red 1437 Blue 2601
Red Red 5089 Blue 1821
Red Red 3752 Blue 1932
Blue Red 2837 Blue 2840
Blue Red 1321 Blue 3036
Blue Red 2465 Blue 3178
Blue Red 2574 Blue 4240
Blue Red 2048 Blue 2320
Blue Red 2216 Blue 4448
Red Red 3614 Blue 1839
Blue Red 2054 Blue 3284
Red Red 7589 Blue 795
Red Red 5764 Blue 2639
Red Red 2983 Blue 2413
Blue Red 3745 Blue 5339
Blue Red 1797 Blue 4537
Blue Red 3347 Blue 3571
Blue Red 3065 Blue 6211
Blue Red 4341 Blue 4409
Blue Red 1762 Blue 6567
Red Red 3868 Blue 1161
Red Red 6546 Blue 1543
Blue Red 3518 Blue 5084
Blue Red 926 Blue 2393
Blue Red 1746 Blue 4119
Blue Red 1284 Blue 4664
Red Red 4051 Blue 1185
Red Red 846 Blue 21
Red Red 5490 Blue 4230
Blue Red 149 Blue 5266
Red Red 5556 Blue 4554
Blue Red 1037 Blue 9922
Red Red 6980 Blue 6883
Red Red 5042 Blue 2468
Red Red 6207 Blue 2905
Blue Red 1281 Blue 7359
Blue Red 373 Blue 11975
Blue Red 76 Blue 7142
Blue Red 42 Blue 4537
Blue Red 38 Blue 6117
Blue Red 42 Blue 5130
Blue Red 36 Blue 6355
Blue Red 55 Blue 5327
Blue Red 36 Blue 4762
Blue Red 8213 Blue 11268
Red Red 5590 Blue 5150
Blue Red 2225 Blue 7134
Blue Red 72 Blue 4821
Blue Red 2040 Blue 8894
Blue Red 99 Blue 4851
Blue Red 443 Blue 8064
Blue Red 614 Blue 7654
Blue Red 2883 Blue 5007
Blue Red 1629 Blue 6321
Red Red 5331 Blue 4926
Blue Red 2277 Blue 3156
Blue Red 4794 Blue 10528
Blue Red 3027 Blue 3597
Blue Red 1140 Blue 6289
Blue Red 2440 Blue 5852
Red Red 4306 Blue 264
Blue Red 1754 Blue 2615
Blue Red 1588 Blue 12196
Blue Red 2083 Blue 7705
Red Red 5594 Blue 3757
Blue Red 2225 Blue 6709
Blue Red 1463 Blue 2643
Blue Red 2127 Blue 6440
Red Red 6995 Blue 4655
Blue Red 2050 Blue 8134
Blue Red 3171 Blue 3412
